,direction,direction_spherical,peaks,column_density,angle_respect_to_los
189,"[-0.7236263888331845, -0.6821097389793522, -0.10531454492977352]","[1.6763065264512393, -2.3857196510606373]","[5.0499879620436285, 8.774408530526296, 28.93790342729936]",6.235100603471154e+20,0.032262369393398216
1181,"[-0.2544878833820198, -0.11087033958978053, 0.9606995810402886]","[0.2812848087128049, -2.7307271585834467]","[5.95708890537928, 34.46773365127394, 12.992897726314688]",6.358908156916224e+17,0.032999891295397155
1190,"[0.7761117302075972, 0.5281608022801703, -0.34452394571195805]","[1.9225279644595188, 0.5975332507130797]","[20.289838980278113, 28.98982733182853, 31.756034359056255]",1.167159167011942e+17,0.033324679391481926
216,"[-0.9908935034418243, 0.09473287365430524, 0.09568567022279209]","[1.4749640393839234, 3.0462788529290474]","[25.783143268554483, 20.417558557453845, 34.07471758779954]",2.8612356898910776e+16,0.03386290602156687
2044,"[0.7185104352964331, 0.6362033735734806, 0.2810480774242243]","[1.2859102961767344, 0.7247167031497677]","[15.711025756498572, 14.351914049318484, 17.92618079389986]",5.438559687920563e+16,0.033881987112060113
1896,"[-0.7757898188438279, -0.34092435372008084, 0.5309620909432277]","[1.0110608143124686, -2.727542862744223]","[9.636835541154731, 0.18307995807268895, 2.0838633374198174]",3.833005002298967e+17,0.03389938632721495
2494,"[0.6011911268627307, 0.6671523345949414, 0.439860195318964]","[1.1153533323483145, 0.8373571475097372]","[4.996048098932214, 2.6477173924356876, 34.00893994227994]",2.0809653434652028e+16,0.034481653724788675
2438,"[0.5833741577883907, 0.6991904220901989, -0.41328845336159065]","[1.9968587454005104, 0.8754544471509057]","[6.738350546956883, 19.27225737434845, 29.95678172272472]",5.004978295940706e+20,0.0358031113406454
1398,"[-0.3519710156728464, -0.9072023197985241, -0.23043514288927627]","[1.8033211634677133, -1.9408927662221422]","[34.65374930870577, 7.657440865906738, 28.259522496366632]",2.4367668199372223e+20,0.036023241411664325
1991,"[0.5458890336681219, -0.7436804175129198, 0.38593341333537845]","[1.174576917160398, -0.9375899790651495]","[13.670402176604355, 7.922745096314628, 35.395642112210986]",8.959248772950326e+16,0.03620220998970816
2493,"[0.7078221765801859, 0.543668969289009, 0.4510119933810138]","[1.1028974487392118, 0.6549766146653014]","[5.012792628016989, 2.644879909743757, 33.9882598301501]",3.1261917789993172e+16,0.0367159617743853
1971,"[-0.005616539654988085, 0.13535369550551063, 0.9907814247326732]","[0.13588799709739496, 1.6122678162265236]","[11.179018782503617, 8.725795082714752, 5.294580757089328]",2.0633236063565456e+16,0.03697230819622005
1158,"[0.6588706322381163, -0.710017583859191, 0.2485246880792765]","[1.3196394682360781, -0.8227446534631132]","[37.986056894881386, 4.739184211968935, 38.33617940410585]",3.357160455578661e+16,0.037813758924874874
755,"[0.4092131350260965, 0.7009962717495481, 0.5840794784233965]","[0.9470508035672642, 1.042404072779583]","[30.131474130511673, 27.23638806771062, 31.040450706477564]",1.0580242121618706e+17,0.03786764972026291
2322,"[-0.6807193063095333, -0.6805910705343924, 0.27095575418565654]","[1.296410537216588, -2.3562886904400937]","[33.64265154641826, 8.435005457612453, 1.7187935773645506]",4.580584657277454e+16,0.03812784435032779
313,"[0.3326117924498913, 0.7946099417445545, 0.5079019944871112]","[1.0380488245761348, 1.1743717755412155]","[14.457636003841149, 28.497191415206018, 35.52694117369757]",8.24896872476942e+16,0.03815309263868871
662,"[-0.6265524258197395, -0.09254588969010984, 0.7738651794730562]","[0.6858749721278655, -2.9949464517487714]","[39.87366272493944, 17.763200819602865, 10.004222244906586]",1.1974455667672915e+17,0.03815833746517783
643,"[0.8334473134549982, 0.500617035269207, 0.23398324660734943]","[1.3346236742172983, 0.5409033939630301]","[13.549139600440972, 22.293926942385824, 39.86056745470011]",3.2846060587048656e+16,0.03862859363790269
2000,"[0.4628705582138611, -0.7650807557608886, -0.44766313618963216]","[2.0349466007552666, -1.0267116210062281]","[7.866128778722668, 19.174241373002502, 31.864174479732974]",2.9741170246176656e+16,0.038667669738778665
1911,"[0.3037227531452054, -0.8890399553317182, 0.3425791106382192]","[1.221135571364669, -1.2415974159123326]","[22.502338747664957, 0.8879831429981095, 8.072248186994894]",3.943855367816254e+16,0.03871485484821942
1460,"[-0.5569216201601153, 0.6462734113754515, 0.5216981759095647]","[1.0219560608722502, 2.2820684540532303]","[35.04497217224147, 9.478519205886048, 28.476776269543347]",1.742551801525674e+18,0.039089571630911424
416,"[-0.7107519537123221, 0.5681727700163063, 0.4147425270045436]","[1.1431364984582564, 2.4672196823191745]","[25.633316847936655, 26.84736517820774, 6.075259631062565]",1.1502757891913972e+18,0.03910730605867546
2462,"[-0.7911300826499974, -0.5689513376503837, -0.2245162972081256]","[1.7972429594842578, -2.518121179189545]","[17.16768285946334, 13.443203610971475, 21.625137988381823]",3.8626785505005353e+18,0.03925283759115489
553,"[-0.12085074858969362, -0.020950192684657604, 0.992449588640041]","[0.12296285609154889, -2.969942657594895]","[17.443862205699745, 16.63195608217172, 9.86401199540991]",2.1805913730013472e+17,0.03960586023238158
919,"[-0.33854395903876267, -0.25936768454905285, 0.9044978673330433]","[0.4405954731025823, -2.487849874437881]","[20.186460856093987, 34.70372549285621, 27.19862936816378]",1.6485139705879984e+16,0.0398252789426623
373,"[0.2525858142183078, 0.8202565789425252, 0.513205174522997]","[1.031881211174079, 1.2720755911764545]","[20.12689470408758, 28.83720482830203, 19.4139180643352]",5.322911025758354e+17,0.03993495402333708
548,"[0.9792524084868733, -0.19629439572016733, -0.05033120981569774]","[1.6211488109654673, -0.19783140577527678]","[7.223488118407228, 38.99843891167392, 27.163547203781008]",2.359903138966483e+16,0.04076710529719116
191,"[0.360841675753478, -0.7716295022472119, -0.5238140856268977]","[2.122118651215815, -1.1333735391618698]","[38.146756701624895, 18.133141330163234, 8.570402521044873]",1.8103215514514e+16,0.04077550252190204
2755,"[0.4224554048677834, 0.8623213529453531, -0.27916539031995513]","[1.853721161007718, 1.1152574118190501]","[14.287439584324979, 9.012401049073851, 39.94111307907862]",2.3517818832571404e+19,0.041025511684033567
1087,"[0.17572334120983632, 0.8561219233188462, 0.4859799993486261]","[1.0633121889492843, 1.3683529862054165]","[9.265120387908823, 39.34029343455572, 24.54932663447037]",3.755972743627562e+19,0.041430865792812965
1334,"[0.5388356442916807, 0.780976096016752, -0.3158045058120637]","[1.8921007589175887, 0.9668461927966021]","[16.82153654846212, 10.633788892411197, 32.555918173276375]",4.748425657491454e+21,0.041862811596822785
162,"[-0.8582347784783819, 0.4740759034254452, 0.1966852887267132]","[1.3728203081683534, 2.6369202952819326]","[11.337921557211558, 14.851831727930488, 30.80563306477155]",1.159237994739832e+19,0.04196609317502448
1581,"[-0.5271325544584764, 0.030508512424588876, 0.8492352446170145]","[0.5562610844771662, 3.0837807883295434]","[23.502090484715612, 17.872096636411577, 31.621506371670765]",2.9379307476610077e+19,0.042337373749121
