,dx(cMpc),dy(cMpc),dz(cMpc),volume(cMpc**3),density(g/cMpc**3)
102,-0.005717819158758061,-0.0053413809911967685,-0.021108187546492147,1.0858069069161949e-07,2.2486241095574685e+46
103,-0.005717819158758061,-0.000570658003340553,-0.021108187546492147,1.0858069069161949e-07,9.351837952271755e+45
104,-0.011681222893579554,-0.006534061738160821,-0.019915506799529723,1.3572586336452436e-08,1.0593061079981644e+47
105,-0.011681222893579554,-0.004148700244232715,-0.019915506799529723,1.3572586336452436e-08,7.855394159461996e+46
106,-0.009295861399651039,-0.006534061738160821,-0.022300868293457832,1.3572586336452436e-08,4.4506168569054753e+46
107,-0.009295861399651039,-0.006534061738160821,-0.019915506799529723,1.3572586336452436e-08,9.010803175068209e+46
108,-0.009295861399651039,-0.004148700244232715,-0.022300868293457832,1.3572586336452436e-08,4.503989661777961e+46
109,-0.009295861399651039,-0.004148700244232715,-0.019915506799529723,1.3572586336452436e-08,5.932899557316578e+46
110,0.0014382653230274852,-0.012497465472982722,-0.013952103064707825,8.686455255329559e-07,2.796721469504207e+45
111,0.0014382653230274852,-0.012497465472982722,-0.004410657088995394,8.686455255329559e-07,2.693311232664588e+45
112,0.0014382653230274852,-0.0029560194972686605,-0.013952103064707825,8.686455255329559e-07,4.1745007968243166e+45
113,0.0014382653230274852,-0.0029560194972686605,-0.004410657088995394,8.686455255329559e-07,6.747141151127197e+45
114,-0.010488542146615092,-0.01488282696691083,-0.016337464558635932,1.0858069069161949e-07,1.0634846037202497e+46
115,-0.010488542146615092,-0.01488282696691083,-0.011566741570779717,1.0858069069161949e-07,1.7740519285635606e+46
116,-0.005717819158758061,-0.01488282696691083,-0.016337464558635932,1.0858069069161949e-07,9.103105709521344e+45
117,-0.005717819158758061,-0.01488282696691083,-0.011566741570779717,1.0858069069161949e-07,1.2203721822431456e+46
118,-0.005717819158758061,-0.010112103979054614,-0.016337464558635932,1.0858069069161949e-07,3.809758639739673e+46
119,-0.011681222893579554,-0.011304784726018669,-0.017530145305601617,1.3572586336452436e-08,1.603521567139669e+46
120,-0.011681222893579554,-0.011304784726018669,-0.01514478381167351,1.3572586336452436e-08,3.866800038029832e+46
121,-0.011681222893579554,-0.008919423232090561,-0.017530145305601617,1.3572586336452436e-08,6.841059455603406e+46
122,-0.009295861399651039,-0.011304784726018669,-0.017530145305601617,1.3572586336452436e-08,2.0452526969650157e+46
123,-0.009295861399651039,-0.011304784726018669,-0.01514478381167351,1.3572586336452436e-08,5.452822273776884e+46
124,-0.009295861399651039,-0.008919423232090561,-0.017530145305601617,1.3572586336452436e-08,7.593733342978691e+46
125,-0.01227756326706158,-0.009515763605571772,-0.01574112418515309,1.6965732920565545e-09,3.6792516469703687e+46
126,-0.01227756326706158,-0.009515763605571772,-0.014548443438190667,1.6965732920565545e-09,5.540836737415065e+46
127,-0.01227756326706158,-0.008323082858607719,-0.01574112418515309,1.6965732920565545e-09,1.3438540398595353e+47
128,-0.01227756326706158,-0.008323082858607719,-0.014548443438190667,1.6965732920565545e-09,2.345560415393887e+47
129,-0.011084882520097527,-0.009515763605571772,-0.01574112418515309,1.6965732920565545e-09,6.39038522424187e+46
130,-0.011084882520097527,-0.009515763605571772,-0.014548443438190667,1.6965732920565545e-09,1.212006964621849e+47
131,-0.011084882520097527,-0.008323082858607719,-0.01574112418515309,1.6965732920565545e-09,2.4052162496554074e+47
132,-0.01138305270683854,-0.00862125304534914,-0.014846613624932089,2.120716615070693e-10,1.294647019354749e+47
133,-0.01138305270683854,-0.00862125304534914,-0.014250273251449246,2.120716615070693e-10,1.4986561316341579e+47
134,-0.01138305270683854,-0.008024912671866297,-0.014846613624932089,2.120716615070693e-10,4.981718482369073e+47
135,-0.01138305270683854,-0.008024912671866297,-0.014250273251449246,2.120716615070693e-10,6.004418383736057e+47
136,-0.010786712333356105,-0.00862125304534914,-0.014846613624932089,2.120716615070693e-10,1.990204688442541e+47
137,-0.010786712333356105,-0.00862125304534914,-0.014250273251449246,2.120716615070693e-10,2.6691602828315537e+47
138,-0.010786712333356105,-0.008024912671866297,-0.014846613624932089,2.120716615070693e-10,8.963216852247612e+47
139,-0.010786712333356105,-0.008024912671866297,-0.014250273251449246,2.120716615070693e-10,1.1719443959202725e+48
140,-0.009892201773133064,-0.009515763605571772,-0.01574112418515309,1.6965732920565545e-09,9.43372522128954e+46
141,-0.009892201773133064,-0.009515763605571772,-0.014548443438190667,1.6965732920565545e-09,1.9972800857388273e+47
142,-0.009892201773133064,-0.008323082858607719,-0.01574112418515309,1.6965732920565545e-09,2.8719087988332974e+47
143,-0.009892201773133064,-0.008323082858607719,-0.014548443438190667,1.6965732920565545e-09,1.0602913345049958e+48
144,-0.008699521026169011,-0.009515763605571772,-0.01574112418515309,1.6965732920565545e-09,9.888593797340341e+46
145,-0.008699521026169011,-0.009515763605571772,-0.014548443438190667,1.6965732920565545e-09,2.0180739306753482e+47
146,-0.008699521026169011,-0.008323082858607719,-0.01574112418515309,1.6965732920565545e-09,2.5521072128086823e+47
147,-0.008699521026169011,-0.008323082858607719,-0.014548443438190667,1.6965732920565545e-09,6.596694126245787e+47
148,-0.011681222893579554,-0.011304784726018669,-0.01275942231774214,1.3572586336452436e-08,9.099573481582684e+46
149,-0.011681222893579554,-0.011304784726018669,-0.010374060823814032,1.3572586336452436e-08,9.505485643893962e+46
150,-0.009295861399651039,-0.011304784726018669,-0.01275942231774214,1.3572586336452436e-08,9.80601746028259e+46
151,-0.009295861399651039,-0.011304784726018669,-0.010374060823814032,1.3572586336452436e-08,9.577898529055779e+46
152,-0.01227756326706158,-0.009515763605571772,-0.013355762691224982,1.6965732920565545e-09,1.369746425130521e+47
153,-0.01227756326706158,-0.009515763605571772,-0.01216308194426256,1.6965732920565545e-09,2.8631527674033453e+47
154,-0.01227756326706158,-0.008323082858607719,-0.013355762691224982,1.6965732920565545e-09,7.125252193606465e+47
155,-0.01227756326706158,-0.008323082858607719,-0.01216308194426256,1.6965732920565545e-09,1.3691478973324921e+48
156,-0.011084882520097527,-0.009515763605571772,-0.013355762691224982,1.6965732920565545e-09,3.2162175543072863e+47
157,-0.011084882520097527,-0.009515763605571772,-0.01216308194426256,1.6965732920565545e-09,5.214052434348926e+47
158,-0.01138305270683854,-0.00862125304534914,-0.013653932877966403,2.120716615070693e-10,2.5129839166542843e+47
159,-0.01138305270683854,-0.00862125304534914,-0.01305759250448356,2.120716615070693e-10,6.909486768004007e+47
